 	Area	XM	YM	Circ.	AR	Round	Solidity
1	7	12.786	10.929	1.000	1.936	0.517	0.933
2	4	25.000	11.000	1.000	1.000	1.000	1.000
3	1	38.500	10.500	1.000	1.000	1.000	1.000
4	8	51.000	11.000	1.000	2.000	0.500	1.000
5	6	61.500	11.000	1.000	1.500	0.667	1.000
6	3	94.500	10.500	0.967	3.000	0.333	1.000
7	15	168.100	11.300	0.898	2.021	0.495	0.909
8	5	247.700	10.900	1.000	1.553	0.644	0.909
9	16	343.125	11.750	0.958	1.443	0.693	0.889
10	1	357.500	10.500	1.000	1.000	1.000	1.000
11	6	437.500	11.000	1.000	1.500	0.667	1.000
12	1	448.500	10.500	1.000	1.000	1.000	1.000
13	9	467.056	11.389	1.000	1.817	0.550	0.857
14	4	503.000	11.000	1.000	1.000	1.000	1.000
15	8	578.000	11.000	1.000	2.000	0.500	1.000
16	8	619.000	11.000	1.000	2.000	0.500	1.000
17	8	847.000	11.000	1.000	2.000	0.500	1.000
18	6	863.500	11.000	1.000	1.500	0.667	1.000
19	10	879.800	11.300	1.000	1.559	0.641	0.909
20	2	986.000	10.500	1.000	2.000	0.500	1.000
21	4	407.000	12.000	1.000	1.000	1.000	1.000
22	6	481.500	12.000	1.000	1.500	0.667	1.000
23	4	528.000	12.000	1.000	1.000	1.000	1.000
24	9	709.722	13.389	0.923	1.539	0.650	0.900
25	7	26.500	14.500	1.000	1.596	0.626	0.875
26	8	450.375	14.625	1.000	1.229	0.814	0.941
27	4	775.000	14.000	1.000	1.000	1.000	1.000
28	8	287.375	15.625	1.000	1.229	0.814	0.941
29	9	537.500	15.500	1.000	1.000	1.000	1.000
30	8	666.625	15.375	1.000	1.229	0.814	0.941
31	8	947.625	15.375	1.000	1.229	0.814	0.941
32	8	963.625	15.375	1.000	1.229	0.814	0.941
33	4	1009.000	15.000	1.000	1.000	1.000	1.000
34	10	176.500	17.000	1.000	1.551	0.645	0.909
35	6	226.500	16.000	1.000	1.500	0.667	1.000
36	6	566.000	16.500	1.000	1.500	0.667	1.000
